Pre-Prod No.,Date,Weeks Taken (or parts thereof),Age Category,Project Age (Open and Closed),Open or closed,Completion date,Client,Project Description,Category,Raw Code,Works Order,Product Code,Sales Rep,Repeat Job,Machine,Material,Artwork required,Artwork Received,Size of Eyemark,Date Sent on Proof,Proof Approved (Conventional),Proof Approved (Digital),Digital trial sent,Sent on Trial,Trial approved,Revised Artwork After Trialling,"Product Material Colour (tube, jar etc.)",Diameter,Length,Cap_Lid Colour,Cap_Lid Diameter,Cap_Lid Material,Cap_Lid Style,Tube Shoulder colour,Orifice,Other Cap_Lid Info,Comments,Dust Controlled Area,Extrusion requested,Extrusion received,Injection trial requested,Injection trial received,Blowmould trial requested,Blowmould trial received,Masterbatch requested,Masterbatch received,New Mould_ Client or Product,Unit Order No,Order Qty x1000,Ordered Plates,Plates Arrived,Status,Qty_Including Waste,Artwork Order,Due for SAESA,Order,Digital Trial,Foil,Digital Trial No,T1_Date,Retrial T2,Retrial T3,Retrial T4,Retrial T5,Trial Comments
10934,2015/08/11,5,< 6 Weeks,0,Closed,2015/09/08,SH'ZEN,Sh'Zen E Balancing Shampoo 50ml,Tube and Cap,,,C40TBSHZ099F,Mark K,,HK+EXTRUSION,Coex,X,2015/08/11,,2015/08/20,2015/08/20,,,,,,White,40,90,Light Blue 0821c,38,PP,F/T B/O,White,10,,,,,,,,,,,,,119021/0,10000,2015/08/20,2015/08/22,Order (a/w),,,,,,,,,,,,,
10935,2015/08/11,5,< 6 Weeks,0,Closed,2015/09/08,SH'ZEN,Sh'zen H Feminine Body Wash,Tube and Cap,,,C40TBSHZ097F,Mark K,,HK+EXTRUSION,Coex,X,2015/08/11,,2015/08/20,2015/08/20,,,,,,White,40,90,Light Pink 0521c,38,PP,F/T B/O,White,10,,,,,,,,,,,,,119016/0,10000,2015/08/20,2015/08/23,Order (a/w),,,,,,,,,,,,,
10936,2015/08/11,5,< 6 Weeks,0,Closed,2015/09/08,SH'ZEN,Sh'zen 'N Natural Treatment for Hair 50ml,Tube and Cap,,,C40TBSHZ100F,Mark K,,HK+EXTRUSION,Coex,X,2015/08/11,,2015/08/20,2015/08/20,,,,,,White,40,90,Light Green 0921c,38,PP,F/T B/O,White,10,,,,,,,,,,,,,119025/0,10000,2015/08/20,2015/08/24,Order (a/w),,,,,,,,,,,,,
10937,2015/08/11,5,< 6 Weeks,0,Closed,2015/09/08,SH'ZEN,Sh'zen ''S Daily Moisture Repair 50ml,Tube and Cap,,,C40TBSHZ096F,Mark K,,HK+EXTRUSION,Coex,X,2015/08/11,,2015/08/20,2015/08/20,,,,,,White,40,90,Light Orange 162c,38,PP,F/T B/O,White,10,,,,,,,,,,,,,119012/0,10000,2015/08/20,2015/08/25,Order (a/w),,,,,,,,,,,,,
10938,2015/08/11,5,< 6 Weeks,0,Closed,2015/09/08,SH'ZEN,Sh'zen Z Rejuvenating Scrubs 50ml,Tube and Cap,,,C40TBSHZ098F,Mark K,,HK+EXTRUSION,Coex,X,2015/08/11,,2015/08/20,2015/08/20,,,,,,White,40,90,Light Purple 0631c,38,PP,F/T B/O,White,10,,,,,,,,,,,,,119018/0,10000,2015/08/20,2015/08/26,Order (a/w),,,,,,,,,,,,,
10939,2015/08/11,56,> 12 Weeks,297,Closed,2016/08/31,Britec Labs,OSH Body Scrub Berry Bubble 250ml (BMPNK060),Cap,,,,Trevor,,INJECTION,,,,,,,,,,,,,,,Pink,,PP,,,,,,,,,,,,,,,,,0,,,No order (a/w),,,,,,,,,,,,,
10940,2015/08/12,38,> 12 Weeks,143,Closed,2016/04/29,J Strickland,Sulphur 8 Bottle 8FL OZ / 238ml  HDPE White,Bottle,,,C0237STR000F,Trevor,,BLOWMOULD,HDPE,,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,125040/0,20000,,,Order,,,,,,,,,,,,,
10941,2015/08/14,37,> 12 Weeks,252,Closed,2016/04/22,KV Art,KV Art S/Ball R/O Bottle (material Trial To get softer bottle),Rollon,,,,Wayne,,BLOWMOULD,,,,,,,,,,,,Yellow,,,,,,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10942,2015/08/17,35,> 12 Weeks,445,Closed,2016/04/11,Canway,OSH B/B R/O Cap Aqua,Cap,,,CCAPRBRI005F,Trevor,,INJECTION,,,,,,,,,,,,,,,Blue,,PP,,,,,,,,,,,,,,,,124556/0,12000,,,Order,,,,,,,,,,,,,
10943,2015/08/18,34,> 12 Weeks,444,Closed,2016/04/11,Canway,OSH B/B R/O Cap Prl Blue,Cap,,,CCAPRBRI003F,Trevor,,INJECTION,,,,,,,,,,,,,,,Prl Blue,,PP,,,,,,,,,,,,,,,,121225/0,12000,,,Order,,,,,,,,,,,,,
10944,2015/08/18,34,> 12 Weeks,444,Closed,2016/04/11,Canway,OSH B/B R/O Cap Lilac,Cap,,,CCAPOBRI001F,Trevor,,INJECTION,,,,,,,,,,,,,,,Lilac,,PP,,,,,,,,,,,,,,,,121223/0,24000,,,Order,,,,,,,,,,,,,
10945,2015/08/18,55,> 12 Weeks,379,Closed,2016/08/31,Canway,OSH B/B R/O Cap Coral,Cap,,,,Trevor,,INJECTION,,,,,,,,,,,,,,,Pink,,PP,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10946,2015/08/18,17,> 12 Weeks,86,Closed,2015/12/11,Canway,OSH B/B R/O Cap  Dusty Pink,Cap,,,CCAPRBRI002F,Trevor,,INJECTION,,,,,,,,,,,,,,,Dusty Pink,,PP,,,,,,,,,,,,,,,,121224/0,12000,,,Order,,,,,,,,,,,,,
10947,2015/08/18,55,> 12 Weeks,379,Closed,2016/08/31,Canway,OSH B/B R/O Cap  Cerise,Cap,,,,Trevor,,INJECTION,,,,,,,,,,,,,,,Cerise,,PP,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10948,2015/08/18,17,612 Weeks,55,Closed,2015/12/10,Canway,OSH B/B R/O Cap  Plum,Cap,,,CCAPRBRI000F,Trevor,,INJECTION,,,,,,,,,,,,,,,Plum,,PP,,,,,,,,,,,,,,,,121222/0,12000,,,Order,,,,,,,,,,,,,
10949,2015/08/18,55,> 12 Weeks,379,Closed,2016/08/31,Canway,OSH B/B R/O Cap  Powder Pink,Cap,,,,Trevor,,INJECTION,,,,,,,,,,,,,,,Powder Pink,,PP,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10950,2015/08/18,10,612 Weeks,69,Closed,2015/10/26,LeSel,Justine Desert Rose Perfumed Body Cream,Tube and Cap,,,C50TBJUS155F,Linda,,HK+EXTRUSION,Coex,X,,,,,,,,,,White,50,160,Natural,48,PP,F/T B/O,White,10,Fuji Sleeve,,,,,,,,,,,,118852/0,5100,,,Order (a/w),,,,,,,,,,,,,
10951,2015/08/18,61,> 12 Weeks,423,Closed,2016/10/14,Sqeezy,Shampoo Conditioner 50ml,Tube and Cap,,,C30TBJAN004F,Natalie,,DUBUIT+EXTRU,LDPE,X,,,2015/09/07,2015/09/07,,,,,,Black,30,110,Black,30,30A (15/30),30A (PP H510_02),Black,4,,,,,,,,,,,,,119996/0,10000,2015/09/07,2015/09/08,Order (a/w),,,,,,,,,,,,,
10952,2015/08/19,36,> 12 Weeks,247,Closed,2016/04/22,Distell,Distell  Drawing Amarula Bottle 50ml,Other,,,,Nicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10953,2015/08/19,2,< 6 Weeks,9,Closed,2015/08/28,CT Toiletry Co,Rooibos & Honeybush Hand and Nail,Digital Laminate,,,,Wayne,,DIGITAL,ABL Silver,,,,,,,,,,,Silver,40,90,Natural,38,PP,F/T B/O,White,10,,,,,,,,,,,,,,0,,,No order (a/w),,,,,,,,,,,,,
10954,2015/08/19,2,< 6 Weeks,12,Closed,2015/08/31,CT Toiletry Co,Marula & Fynbos Honey,Digital Laminate,,,,Wayne,,DIGITAL,ABL Silver,,,,,,,,,,,Silver,40,90,Natural,38,PP,F/T B/O,White,10,,,,,,,,,,,,,,0,,,No order (a/w),,,,,,,,,,,,,
10955,2015/08/19,52,> 12 Weeks,477,Closed,2016/08/12,Inuka,Inuka Luxury Lotion 50ml,Tube and Cap,,,,Rob,,HK+EXTRUSION,Coex,X,,,,,,,,,,White,35,100,Gold 871c,35,35A (PP H510_02),35A (15/35),White,4,,,,,,,,,,,,,,0,,,No order (a/w),,,,,,,,,,,,,
10956,2015/08/19,11,612 Weeks,70,Closed,2015/10/28,Aerosol & Cosm.,Healing Earth Shampoo 50ml,Digital Laminate,,,,Rob,,DIGITAL,PBL,,,,,,,,,,,White,35,100,Brown,35,35A (PP H510_02),35A (15/35),White,4,,,,,,,,,,,,,,0,,,No order (a/w),,,,,,,,,,,,,
10957,2015/08/20,13,> 12 Weeks,90,Closed,2015/11/18,Pharmamark,Eat Naked Raw Honey 35ml,Digital Laminate,C35LTPHM000F,W00073983,C35LTPHM000F,Natalie,New,DIGITAL,PBL,X,,8X3,2015/09/29,,2015/10/01,,,x,,White,35,80,Brown 476c,35,35A (PP H510_02),35A (15/35),White,6,,1st proof send on the 31/8 customer revised artwork,,,,,,,,,,,119053/0,20000,,,Order (a/w),3500,Lauren Capazario Lauren Capazario,x,x,x,,2,2015/09/25,2015/10/05,,,,T2 Trial  Client increased size of copy to improve legibility
10958,2015/08/20,179,> 12 Weeks,1250,Closed,2019/01/21,Britec Labs,Beauty Sleep 200ml Bottle (OSH) ( This project was cancelled and uncancelled  in feb),Bottle,,,D0200BRI018F,Trevor,,BLOWMOULD,HDPE,,,,,,,,,,,LILac,,,,,,,,,,,,,,,,,,,,,123594/0,20000,,,Order,,,,,,,,,,,,,
10959,2015/08/20,54,> 12 Weeks,377,Closed,2016/08/31,Britec Labs,Beauty Sleep Bottle 375ml (OSH),Bottle,,,,Trevor,,BLOWMOULD,HDPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10960,2015/08/20,41,> 12 Weeks,280,Closed,2016/05/26,Britec Labs,OSH Beauty Sleep Beauty Cap Prl Purple,Cap,,,CCAPOBRI119F,Trevor,,INJECTION,,,,,,,,,,,,,,,TNT Lilac,,PP,,,,,,,,,,,,,,,,,0,,,Order,,,,,,,,,,,,,
10961,2015/08/20,54,> 12 Weeks,377,Closed,2016/08/31,Britec Labs,OSH Mini Berry Bubble Cap 24/410 (Match CCAPOBRI085F),Cap,,,,Trevor,,INJECTION,,,,,,,,,,,,,,,Tnt Pink,,PP,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10962,2015/08/20,54,> 12 Weeks,377,Closed,2016/08/31,Britec Labs,OSH Lavender Lather Cap 24/410 (MatchCCAPOBRI082F),Cap,,,,Trevor,,INJECTION,,,,,,,,,,,,,,,Tnt Lilac,,PP,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10963,2015/08/20,54,> 12 Weeks,377,Closed,2016/08/31,Britec Labs,OSH Mini Creamy Caress Cap 24/410 (Match CCAPOBRI016F),Cap,,,,Trevor,,INJECTION,,,,,,,,,,,,,,,Natural,,PP,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10964,2015/08/20,54,> 12 Weeks,377,Closed,2016/08/31,Britec Labs,OSH Mini Bye Bye Stress Cap 24/410 (Match CCAPOBRI060F),Cap,,,,Trevor,,INJECTION,,,,,,,,,,,,,,,Tnt Purple,,PP,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10965,2015/08/20,54,> 12 Weeks,377,Closed,2016/08/31,Britec Labs,OSH Mini Magic of the Sea Cap 24/410,Cap,,,,Trevor,,INJECTION,,,,,,,,,,,,,,,Blue,,PP,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10966,2015/08/20,54,> 12 Weeks,377,Closed,2016/08/31,Britec Labs,Beauty Sleep Osh Bottle 375ml,Bottle,,,DO375BRI024F,Trevor,,BLOWMOULD,,,,,,,,,,,,Lilac,,,,,,,,,,,,,,,,,,,,,122318/0,15000,,,Order,,,,,,,,,,,,,
10967,2015/08/20,179,> 12 Weeks,1250,Closed,2019/01/21,AVROY SHLAIN,Avroy Shlain Toner Bottle Drawing,Other,,,,Bernd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10968,2015/08/21,8,> 12 Weeks,111,Closed,2015/10/12,Bio Earth Man.,Pikoko Cellulite Nil Jelly 150ml,Digital Laminate,C40LTPIK000F,W00073655,C40LTPIK000F,Wayne,New,DIGITAL,PBL,X,,8x3,2015/09/08,,2015/09/14,,,x,,White,40,170,White,38,PP,F/T B/O,White,10,Fuji Sleeve,,,,,,,,,,,,119101/0,2500,,,Order (a/w),3500,Email DD 03/08/15,x,x,x,,1,2015/09/21,,,,,
10969,2015/08/21,8,> 12 Weeks,111,Closed,2015/10/12,Bio Earth Man.,Pikoko ScarNil Jelly 150ml,Digital Laminate,C40LTPIK001F,W00073663,C40LTPIK001F,Wayne,New,DIGITAL,PBL,X,,8x3,2015/09/08,,2015/09/14,,,x,,White,40,170,White,38,PP,F/T B/O,White,10,Fuji Sleeve,,,,,,,,,,,,119104/0,2500,,,Order (a/w),6000,Email DD 03/08/15,x,x,x,,1,2015/09/21,,,,,
10970,2015/08/21,8,> 12 Weeks,111,Closed,2015/10/12,Bio Earth Man.,Pikoko TummyTrim Jelly 150ml,Digital Laminate,C40LTPIK002F,W00073661,C40LTPIK002F,Wayne,New,DIGITAL,PBL,X,,8x3,2015/09/08,,2015/09/14,,,x,,White,40,170,White,38,PP,F/T B/O,White,10,Fuji Sleeve,,,,,,,,,,,,119102/2,2500,,,Order (a/w),4000,Email DD 03/08/15,x,x,x,,1,2015/10/09,,,,,
10971,2015/08/21,8,> 12 Weeks,111,Closed,2015/10/12,Pepper Tree Packaging,Cocoa Hand and Nail Cream 50ml,Digital Laminate,C35LTPEP002F,W00074052,C35LTPEP002F,Wayne,New,DIGITAL,ABL Silver,X,,8X3,2015/08/31,,2015/09/11,,,x,,Silver,35,90,Black,33,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,White,10,,,,,,,,,,,,,119388/0,7500,,,Order (a/w),3700,101892 101892,x,x,x,,1,2015/09/30,,,,,
10972,2015/08/21,10,612 Weeks,68,Closed,2015/10/28,Pepper Tree Packaging,Cocoa Hand Sanitiser 50ml,Digital Laminate,C35LTPEP001F,W00074048,C35LTPEP001F,Wayne,New,DIGITAL,PBL,X,,8X3,2015/08/31,,2015/09/11,,,x,,White,35,90,White,33,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,White,10,,,,,,,,,,,,,119387/0,7500,,,Order (a/w),3600,101892 101892,x,x,x,,1,2015/09/21,,,,,
10973,2015/08/24,7,< 6 Weeks,17,Closed,2015/10/09,Impresspa,Overcap For Collet Transparent Red,Cap,,,CCAPSIMP003F,Chris,,INJECTION,,,,,,,,,,,,,,,Tnt Red,,PP,,,,,,,,,,,,,,,,119057/0,20000,,,Order,,,,,,,,,,,,,
10974,2015/08/24,179,> 12 Weeks,1246,Closed,2019/01/21,Woolworths,500ml Woolworths bottle Drawing,Bottle,,,,Bernd,,,PET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10975,2015/08/24,179,> 12 Weeks,1246,Closed,2019/01/21,Woolworths,1500ml Woolworths Bottle Drawing,Bottle,,,,Bernd,,,PET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10976,2015/08/24,46,> 12 Weeks,318,Closed,2016/07/07,Genop Healthcare,Screw Cap 24/410Yellow,Cap,,,,Chris,,INJECTION,,,,,,,,,,,,,,,Yellow,,PP,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10977,2015/08/25,82,> 12 Weeks,567,Closed,2017/03/14,SH'ZEN,Himalayan Salt Scrub PinkColour Match,Tube and Cap,,,,Mark K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
10978,2015/08/25,51,> 12 Weeks,471,Closed,2016/08/12,Natures Touch,Victorian Garden Sesame & Honey  20ml,Digital Laminate,C25LTNAT000F,W00073765,C25LTNAT000F,Rob,New,DIGITAL,PBL,X,,10X2,2015/09/16,,2015/09/17,,,x,,White,25,80,White,25,25A (PP H510_02),25A (11/25),White,4,Foil Seal,,,,,,,,,,,,119119/0,2500,,,Order (a/w),3600,NTP 0170,x,x,x,,1,2015/09/25,,,,,
10979,2015/08/25,10,612 Weeks,64,Closed,2015/10/28,Natures Touch,Victorian Garden Bearberry Pigmentation Cream  20ml,Digital Laminate,C25LTNAT001F,W00073795,C25LTNAT001F,Rob,New,DIGITAL,PBL,X,,8X3,2015/09/28,,2015/10/06,,,x,,White,25,80,White,25,25A (PP H510_02),25A (11/25),White,4,Foil Seal,,,,,,,,,,,,119117/0,2500,,,Order (a/w),3300,NTP 0170,x,x,x,,1,2015/10/09,,,,,
10980,2015/08/25,8,612 Weeks,51,Closed,2015/10/15,Natures Touch,Victorian Garden Jasmine and Camomile 100ml,Digital Laminate,C40LTNAT000F,W00073805,C40LTNAT000F,Rob,New,DIGITAL,PBL,X,,8X3,2015/09/28,,2015/10/07,,,x,,White,40,120,White,40,PP,A,White,4,Foil Seal,,,,,,,,,,,,119120/0,2500,,,Order (a/w),3600,NTP 0170,x,x,x,,1,2015/10/09,,,,,
10981,2015/08/25,8,612 Weeks,51,Closed,2015/10/15,Natures Touch,Victorian Garden Apricot & Lavender 100ml,Digital Laminate,C40LTNAT001F,W00073783,C40LTNAT001F,Rob,New,DIGITAL,PBL,X,,8X3,2015/09/28,,2015/10/07,,,x,,White,40,120,White,40,PP,A,White,4,Foil Seal,,,,,,,,,,,,119121/0,2500,,,Order (a/w),3600,NTP 0170,x,x,x,,1,2015/10/09,,,,,
10982,2015/08/25,10,612 Weeks,64,Closed,2015/10/28,Natures Touch,Victorian Garden Queen Catherines Lip Cream 20ml,Digital Laminate,C25LTNAT002F,W00073773,C25LTNAT002F,Rob,New,DIGITAL,PBL,X,,10x2,2015/09/16,,2015/09/17,,,x,,White,25,80,White,25,25A (PP H510_02),25A (11/25),White,4,Foil Seal,,,,,,,,,,,,119115/0,2500,,,Order (a/w),3600,NTP 0170,x,x,x,,1,2015/10/09,,,,,
10983,2015/08/25,8,612 Weeks,51,Closed,2015/10/15,Natures Touch,Victorian Garden Rosmary & Lavender 100ml,Digital Laminate,C40LTNAT002F,W00073786,C40LTNAT002F,Rob,New,DIGITAL,PBL,X,,8X3,2015/09/28,,2015/10/07,,,x,,White,40,120,White,40,PP,A,White,4,Foil Seal,,,,,,,,,,,,119116/0,2500,,,Order (a/w),3600,NTP 0171,x,x,x,,1,2015/10/09,,,,,
10984,2015/08/25,8,612 Weeks,51,Closed,2015/10/15,Natures Touch,Victorian Garden Lemon & Perlargonium 100ml,Digital Laminate,C40LTNAT003F,W00073789,C40LTNAT003F,Rob,New,DIGITAL,PBL,X,,8X3,2015/09/29,,2015/09/29,,,x,,White,40,120,White,40,PP,A,White,4,Foil Seal,,,,,,,,,,,,119114/0,2500,,,Order (a/w),14200,NTP 0171,x,x,x,,1,2015/10/09,,,,,
10985,2015/08/25,8,612 Weeks,51,Closed,2015/10/15,Natures Touch,Victorian Garden Basil & Lemongrass 100ml,Digital Laminate,C40LTNAT004F,W00073792,C40LTNAT004F,Rob,New,DIGITAL,PBL,X,,8X3,2015/09/28,,2015/10/06,,,x,,White,40,120,White,40,PP,A,White,4,Foil Seal,,,,,,,,,,,,119118/0,2500,,,Order (a/w),4000,NTP 0171,x,x,x,,1,2015/10/09,,,,,
10986,2015/08/25,10,612 Weeks,64,Closed,2015/10/28,Aerosol & Cosm.,Healing Earth Shampoo 50ml,Digital Laminate,C35LTAER003F,W00073988,C35LTAER003F,Rob,New,DIGITAL,PBL,X,,8x3,2015/09/14,,2015/10/01,,,x,,White,35,100,Brown,35,35A (PP H510_02),35A (15/35),White,4,,,,,,,,,,,,,119182/0,5500,,,Order (a/w),11200,27127,x,x,x,,1,2015/10/09,,,,,
10987,2015/08/25,10,612 Weeks,64,Closed,2015/10/28,Aerosol & Cosm.,Healing Earth Conditioning Shampoo 50ml,Digital Laminate,C35LTAER004F,W00073991,C35LTAER004F,Rob,New,DIGITAL,PBL,X,,8x3,2015/09/14,,2015/10/01,,,x,,White,35,100,Brown,35,35A (PP H510_02),35A (15/35),White,4,,,,,,,,,,,,,119176/0,5500,,,Order (a/w),3200,27127,x,x,x,,1,2015/10/05,,,,,
10988,2015/08/25,10,612 Weeks,64,Closed,2015/10/28,Aerosol & Cosm.,Healing Earth Shower Gel 50ml,Digital Laminate,C35LTAER005F,W00073993,C35LTAER005F,Rob,New,DIGITAL,PBL,X,,8x3,2015/09/14,,2015/10/01,,,x,,White,35,100,Brown,35,35A (PP H510_02),35A (15/35),White,4,,,,,,,,,,,,,119177/0,8000,,,Order (a/w),3700,27127,x,x,x,,1,2015/10/05,,,,,
10989,2015/08/25,10,612 Weeks,64,Closed,2015/10/28,Aerosol & Cosm.,Healing Earth Hand and Body Lotion 50ml,Digital Laminate,C35LTAER006F,W00073995,C35LTAER006F,Rob,New,DIGITAL,PBL,X,,8x3,2015/09/14,,2015/10/01,,,x,,White,35,100,Brown,35,35A (PP H510_02),35A (15/35),White,4,,,,,,,,,,,,,119178/0,8000,,,Order (a/w),4400,27127,x,x,x,,1,2015/10/05,,,,,
10990,2015/08/25,10,612 Weeks,64,Closed,2015/10/28,Aerosol & Cosm.,Healing Earth Conditioner 50ml,Digital Laminate,C35LTAER007F,W00074013,C35LTAER007F,Rob,New,DIGITAL,PBL,X,,8x3,2015/09/14,,2015/10/01,,,x,,White,35,100,Brown,35,35A (PP H510_02),35A (15/35),White,4,,,,,,,,,,,,,119179/0,5500,,,Order (a/w),4000,27127,x,x,x,,1,2015/10/05,,,,,
10991,2015/08/25,10,612 Weeks,64,Closed,2015/10/28,Aerosol & Cosm.,Healing Earth Foam Bath 50ml,Digital Laminate,C35LTAER008F,W00073997,C35LTAER008F,Rob,New,DIGITAL,PBL,X,,8x3,2015/09/14,,2015/10/01,,,x,,White,35,100,Brown,35,35A (PP H510_02),35A (15/35),White,4,,,,,,,,,,,,,119180/0,3000,,,Order (a/w),5800,27127,x,x,x,,1,2015/10/05,,,,,
10992,2015/08/25,10,612 Weeks,64,Closed,2015/10/28,Aerosol & Cosm.,Healing Earth Hand and Body Soap 50ml,Digital Laminate,C35LTAER009F,W00073999,C35LTAER009F,Rob,New,DIGITAL,PBL,X,,8x3,2015/09/14,,2015/10/01,,,x,,White,35,100,Brown,35,35A (PP H510_02),35A (15/35),White,4,,,,,,,,,,,,,119181/0,3000,,,Order (a/w),8200,27127,x,x,x,,1,2015/10/05,,,,,
10993,2015/08/25,16,612 Weeks,48,Closed,2015/12/10,OSH Foot Serum 100ml,OSH Foot Serum 100ml,Digital Laminate,C40LTBRI002F,W00076636,C40LTBRI002F,Trevor,New,DIGITAL,ABL Silver,X,,8X3,2015/02/10,,2015/11/10,,,x,,Silver,40,120,Beige,38,PP,F/T B/O,White,10,,,,,,,,,,,,,120670/0,5000,,,Order (a/w),3200,18068 18068,x,x,x,,2,2015/11/13,2015/11/27,,,,
10994,2015/08/25,51,> 12 Weeks,471,Closed,2016/08/12,Inuka,Inuka Luxury Lotion 200ml,Tube and Cap,,,,Rob,,,Coex,X,,,,,,,,,,White,50,160,Gold 871c,48,PP,F/T B/O,White,10,Fuji Sleeve,,,,,,,,,,,,,0,,,No order (a/w),,,,,,,,,,,,,
10995,2015/08/25,35,> 12 Weeks,241,Closed,2016/04/22,Datlabs,Camphacare Herbal Jars 500ml (new art),Jar,,,,Rob,,DUBUIT,HDPE,X,,,,,,,,,,Green 382c,,,,,,,,,,,,,,,,,,,,,,0,,,No order (a/w),,,,,,,,,,,,,
10996,2015/08/25,51,> 12 Weeks,471,Closed,2016/08/12,Datlabs,Camphacare Original Jars 500ml (new art),Jar,,,,Rob,,DUBUIT,HDPE,X,,,,,,,,,,Green 382c,,,,,,,,,,,,,,,,,,,,,,0,,,No order (a/w),,,,,,,,,,,,,
10997,2015/08/26,7,> 12 Weeks,106,Closed,2015/10/12,Totally Wild,Aloe 24 100ml,Digital Laminate,C40LTTOT001F,,C40LTTOT001F,Rob,New,DIGITAL,PBL,X,,8X3,2015/09/03,,2015/09/03,,,x,,White,40,120,White,38,PP,F/T B/O,White,10,Fuji Sleeve,,,,,,,,,,,,,3200000,,,Order (a/w),3200,,x,FALSE,x,,1,2015/10/09,,,,,
10998,2015/08/26,10,612 Weeks,63,Closed,2015/10/28,MRL Private Collection,Shaving Gel 75ml,Digital Laminate,C35LTMRL001F,W00075238,C35LTMRL001F,Rob,New,DIGITAL,PBL,X,,8X3,2015/09/17,,2015/09/17,,,x,,White,35,120,White,35,35A (PP H510_02),35A (15/35),White,4,Foil Seal,,,,,,,,,,,,119435,2500,,,Order (a/w),3200,MARCIA 25/8,x,x,x,,1,2015/09/29,,,,,
10999,2015/08/26,7,> 12 Weeks,106,Closed,2015/10/12,MRL Private Collection,Facial Scrub 75ml,Digital Laminate,C35LTMRL002F,W00074212,C35LTMRL002F,Rob,New,DIGITAL,ABL Silver,X,,8X3,2015/09/17,,2015/09/17,,,x,,Silver,35,120,Purple,35,35A (PP H510_02),35A (15/35),White,4,Foil Seal,,,,,,,,,,,,119434/0,2500,,,Order (a/w),7800,MARCIA 25/8,x,x,x,,1,2015/09/30,,,,,
11000,2015/08/26,8,612 Weeks,50,Closed,2015/10/15,Sunray Cosm.,Tiki Hand and Nail Cream 100ml,Digital Laminate,C40LTSUN002F,W00074002,C40LTSUN002F,Nicole,New,DIGITAL,PBL,X,,8X3,2015/09/04,,2015/09/08,,,x,,White,40,120,Black,15/38,38A (15/38),38A (15/38),White,4,,,,,,,,,,,,,119195/0,2500,,,Order (a/w),3200,207840,x,x,x,,1,2015/09/25,,,,,
11001,2015/08/27,6,< 6 Weeks,0,Closed,2015/10/05,KV Art,KV Art Small Ball R/O Cap (BMRED008),Cap,,,CCAPRKVA001F,Wayne,,INJECTION,,,,,,,,,,,,,,,Red BMRED008,,PP,,,,,,,,,,,,,,,,120129/0,10000,,,Order,,,,,,,,,,,,,
11002,2015/08/28,178,> 12 Weeks,1242,Closed,2019/01/21,Brandhouse,Smirnoff 200ml PET Bottle Clear 28g,PET,,,J0200SMI000F,Bernd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119238/1,9700,,,Order,,,,,,,,,,,,,
11003,2015/08/31,50,> 12 Weeks,465,Closed,2016/08/12,Aerosol & Cosm.,Sorbet Firming Hand and Nail Cream 50ml (ON HOLD (9/9/15),Tube and Cap,,,C35TBAER001F,Rob,,DUBUIT+EXTRU,LDPE,X,,,,,,,,,,Pink 204c,35,100,White,33,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,Natural,10,Fuji Sleeve,,,,,,,,,,,,118193/2,8600,,,Order (a/w),,,,,,,,,,,,,
11004,2015/08/31,50,> 12 Weeks,465,Closed,2016/08/12,Aerosol & Cosm.,Sorbet Hydrating Hand and Nail Cream 50ml (ON HOLD (9/9/15),Tube and Cap,,,C35TBAER002F,Rob,,DUBUIT+EXTRU,LDPE,X,,,,,,,,,,Orange 715c,35,100,White,33,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,Natural,10,Fuji Sleeve,,,,,,,,,,,,118194/3,8600,,,Order (a/w),,,,,,,,,,,,,
