Pre-Prod No.,Date,Weeks Taken (or parts thereof),Age Category,Project Age (Open and Closed),Open or closed,Completion date,Client,Project Description,Category,Raw Code,Works Order,Product Code,Sales Rep,Repeat Job,Machine,Material,Artwork required,Artwork Received,Size of Eyemark,Date Sent on Proof,Proof Approved (Conventional),Proof Approved (Digital),Digital trial sent,Sent on Trial,Trial approved,Revised Artwork After Trialling,"Product Material Colour (tube, jar etc.)",Diameter,Length,Cap_Lid Colour,Cap_Lid Diameter,Cap_Lid Material,Cap_Lid Style,Tube Shoulder colour,Orifice,Other Cap_Lid Info,Comments,Dust Controlled Area,Extrusion requested,Extrusion received,Injection trial requested,Injection trial received,Blowmould trial requested,Blowmould trial received,Masterbatch requested,Masterbatch received,New Mould_ Client or Product,Unit Order No,Order Qty x1000,Ordered Plates,Plates Arrived,Status,Qty_Including Waste,Artwork Order,Due for SAESA,Order,Digital Trial,Foil,Digital Trial No,T1_Date,Retrial T2,Retrial T3,Retrial T4,Retrial T5,Trial Comments
19878_1,,,,0,,,Saradox,Bee Natural Foot Cream 100ml,Digital Laminate,C40LTSAA027F (Add),W00231668,C40LTSAA027F (Add),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,40,130,,,,,,10,,,,,,,,,,,,,,,,,,6000,PO011123  PO011123 (foil),x,x,Repeat,,Repeat,,,,,,
19893_1,,,,0,,,Canway,OSH Floral Fantasy 45ml,Digital Laminate,C35LTBRI043F (Add),W00230991,C35LTBRI043F (Add),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,90,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,5800,48886,x,x,Repeat,,Repeat,,,,,,
19893_2,,,,0,,,Canway,OSH Floral Fantasy 45ml,Digital Laminate,C35LTBRI043F (Add 1),W00239248,C35LTBRI043F (Add 1),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,90,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,5600,48886,x,x,Repeat,,,,,,,,
19893_3,,,,0,,,Canway,OSH Floral Fantasy 45ml,Digital Laminate,C35LTBRI043F (Add 2),W00240263,C35LTBRI043F (Add  2),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,90,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,5600,48886,x,x,Repeat,,,,,,,,
19893_4,,,,0,,,Canway,OSH Floral Fantasy 45ml,Digital Laminate,C35LTBRI043F (Add 3),W00243808,C35LTBRI043F (Add  3),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,90,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,5600,48886,x,x,Repeat,,,,,,,,
19893_5,,,,0,,,Canway,OSH Floral Fantasy 45ml,Digital Laminate,C35LTBRI043F (Add 4),W00247873,C35LTBRI043F (Add  4),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,90,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,5600,48886,x,x,Repeat,,,,,,,,
19893_6,,,,0,,,Canway,OSH Floral Fantasy 45ml,Digital Laminate,C35LTBRI043F (Add 5),W00249737,C35LTBRI043F (Add  5),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,90,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,6000,48886,x,x,Repeat,,,,,,,,
19893_7,,,,0,,,Canway,OSH Floral Fantasy 45ml,Digital Laminate,C35LTBRI043F (Add 6),W00254966,C35LTBRI043F (Add 6),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,90,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,7000,48886,x,x,Repeat,,,,,,,,
19893_8,,,,0,,,Canway,OSH Floral Fantasy 45ml,Digital Laminate,C35LTBRI043F (Add 7),W00255851,C35LTBRI043F (Add 7),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,90,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,6000,48886,x,x,Repeat,,,,,,,,
19925_1,,,,0,,,Ivida,Derma V RT Gel 20g,Digital Laminate,C25LTDMV001F (Add),W00232751,C25LTDMV001F (Add),Rob,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,25,80,,,25A (PP H510_02),25A (11/25),,4,,,,,,,,,,,,,,,,,,3000,No Charge,x,x,Repeat,,Repeat,,,,,,
